Player,Balls_Faced,Strike_Rate,Batting_Average,Runs_Scored
Imam-ul-Haq,13,148.99,27.24,15
Khushdil Shah,21,130.86,16.59,22
Zaman Khan,13,127.35,50.8,24
Usman Khan,85,93.38,58.47,89
Salman Ali Agha,53,93.34,25.77,51
Saud Shakeel,22,103.08,32.2,19
Usman Khan,78,74.98,61.11,57
Zaman Khan,123,163.4,43.87,213
Mohammad Nawaz,108,94.73,18.99,91
Shaheen Afridi,68,136.28,33.24,89
Shaheen Afridi,99,172.4,47.4,178
Mohammad Nawaz,30,115.47,28.5,46
Mohammad Nawaz,97,98.91,53.42,96
Haris Rauf,61,92.13,25.55,74
Haris Rauf,37,138.65,34.78,62
Shaheen Afridi,27,89.6,43.07,30
Mohammad Wasim Jr,61,103.44,64.87,66
Mohammad Rizwan,120,73.16,46.37,101
Fakhar Zaman,59,105.79,64.81,80
Babar Azam,97,146.49,49.09,147
Haris Rauf,24,95.22,22.91,26
Shaheen Afridi,74,151.44,40.38,107
Tayyab Tahir,87,83.87,33.7,78
Tayyab Tahir,127,60.07,31.21,77
Naseem Shah,40,66.95,58.9,33
Azam Khan,114,68.31,53.03,86
Azam Khan,80,79.82,41.38,80
Khushdil Shah,106,147.59,25.06,159
Abdullah Shafique,66,167.95,37.57,101
Babar Azam,85,126.47,44.42,102
Mohammad Rizwan,39,68.09,16.57,28
Shaheen Afridi,95,118.25,41.96,132
Mohammad Wasim Jr,70,89.16,38.65,60
Salman Ali Agha,55,110.83,38.35,74
Imam-ul-Haq,17,108.31,31.97,21
Shadab Khan,78,113.83,36.09,84
Fakhar Zaman,66,156.96,57.8,102
Khushdil Shah,117,61.77,19.66,76
Salman Ali Agha,72,117.76,58.23,98
Babar Azam,59,91.82,54.2,60
Khushdil Shah,94,146.21,22.74,140
Mohammad Wasim Jr,104,125.06,52.4,122
Tayyab Tahir,127,162.33,22.87,231
Iftikhar Ahmed,18,131.4,48.76,23
Mohammad Wasim Jr,41,129.47,16.99,51
Mohammad Wasim Jr,76,97.96,28.04,79
Shaheen Afridi,60,75.71,47.28,59
Fakhar Zaman,11,114.99,64.92,17
Shadab Khan,74,91.82,61.66,91
Abdullah Shafique,46,78.93,56.69,49
Tayyab Tahir,11,140.14,42.73,17
Shan Masood,43,73.85,20.35,32
Zaman Khan,36,146.11,25.18,55
Azam Khan,42,168.64,57.31,70
Shaheen Afridi,15,60.43,53.56,14
Usman Khan,80,144.68,43.05,116
Shan Masood,79,64.32,33.46,56
Mohammad Rizwan,49,103.76,61.65,60
Abdullah Shafique,36,141.85,48.35,57
Salman Ali Agha,89,149.94,61.29,127
Iftikhar Ahmed,122,109.48,23.97,159
Salman Ali Agha,112,140.39,51.75,148
Imam-ul-Haq,58,164.66,57.93,101
Usman Khan,54,96.62,54.77,49
Shadab Khan,61,99.39,58.22,74
Tayyab Tahir,61,141.54,57.18,83
Shaheen Afridi,32,129.67,64.18,47
Abdullah Shafique,103,154.37,36.82,181
Mohammad Wasim Jr,34,90.57,50.44,41
Khushdil Shah,97,146.33,52.1,155
Fakhar Zaman,95,170.49,46.16,171
Naseem Shah,74,97.11,35.42,72
Shan Masood,34,110.45,62.02,55
Zaman Khan,82,96.11,42.4,70
Salman Ali Agha,110,129.6,47.74,147
Shadab Khan,75,116.78,60.06,99
Fakhar Zaman,46,121.85,46.65,65
Mohammad Nawaz,96,97.25,55.33,85
Azam Khan,88,161.97,18.64,144
Shadab Khan,101,143.56,39.72,142
Babar Azam,124,150.12,53.5,171
Iftikhar Ahmed,112,174.96,40.9,172
Imam-ul-Haq,68,76.0,38.23,59
Haris Rauf,106,166.97,45.63,196
Khushdil Shah,67,167.66,52.18,115
Mohammad Nawaz,117,136.52,53.29,171
Shaheen Afridi,66,69.3,29.29,44
Khushdil Shah,20,76.6,26.56,23
Fakhar Zaman,63,108.91,42.13,69
Salman Ali Agha,59,168.58,44.2,118
Mohammad Wasim Jr,58,117.24,62.14,71
Salman Ali Agha,78,149.7,42.31,122
Mohammad Nawaz,44,112.3,16.45,52
Saud Shakeel,102,79.81,38.37,80
Babar Azam,126,107.28,43.22,125
Shan Masood,120,115.4,17.51,131
Haris Rauf,53,151.35,33.96,97
Shaheen Afridi,116,69.83,15.97,92
Abdullah Shafique,38,138.02,54.06,67
Mohammad Nawaz,35,160.71,46.07,58
Imam-ul-Haq,82,173.73,38.25,136
Zaman Khan,87,175.65,50.92,168
Naseem Shah,23,129.44,61.44,46
Saud Shakeel,60,172.98,24.92,116
Mohammad Nawaz,23,143.66,30.08,44
Mohammad Wasim Jr,110,64.93,41.64,74
Haris Rauf,11,161.95,56.12,31
Usman Khan,100,78.36,23.81,85
Zaman Khan,113,170.35,53.73,204
Mohammad Wasim Jr,44,98.68,27.27,50
Usman Khan,41,150.06,43.49,69
Azam Khan,118,99.0,39.38,114
Shaheen Afridi,122,131.54,59.01,172
Shadab Khan,20,88.96,35.32,19
Azam Khan,92,145.42,37.41,117
Saud Shakeel,98,89.2,48.2,92
Abdullah Shafique,64,179.6,42.52,115
Naseem Shah,42,87.66,51.06,46
Iftikhar Ahmed,34,85.97,39.21,45
Tayyab Tahir,86,93.96,20.03,72
Iftikhar Ahmed,48,61.7,41.71,41
Khushdil Shah,47,143.69,21.31,78
Babar Azam,83,94.12,38.94,88
Shaheen Afridi,130,163.41,20.7,188
Mohammad Wasim Jr,90,142.37,22.59,151
Fakhar Zaman,41,74.21,53.22,44
Mohammad Nawaz,109,122.71,37.53,143
Salman Ali Agha,49,128.24,18.01,68
Shadab Khan,90,85.32,48.02,71
Fakhar Zaman,30,60.32,37.53,21
Mohammad Nawaz,46,144.83,50.15,76
Shaheen Afridi,110,154.95,44.49,188
Imam-ul-Haq,79,86.98,22.45,62
Mohammad Rizwan,31,155.12,44.75,66
Usman Khan,25,116.24,30.2,29
Khushdil Shah,73,112.53,44.9,102
Zaman Khan,42,63.1,26.45,38
Mohammad Wasim Jr,12,179.95,48.61,20
Iftikhar Ahmed,70,122.28,37.11,93
Salman Ali Agha,91,157.71,63.45,150
Haris Rauf,95,72.55,23.04,70
Saud Shakeel,114,151.26,16.83,150
Imam-ul-Haq,108,108.5,40.73,143
Khushdil Shah,69,109.59,24.38,80
Usman Khan,107,66.19,28.35,64
Azam Khan,25,63.46,46.5,28
Naseem Shah,80,61.64,35.4,56
Imam-ul-Haq,69,173.65,47.39,121
Naseem Shah,75,144.65,35.77,113
Usman Khan,80,77.36,24.53,71
Shan Masood,120,68.38,53.63,96
Tayyab Tahir,44,158.47,29.14,71
Azam Khan,120,77.83,41.93,96
Khushdil Shah,58,114.64,31.09,68
Mohammad Wasim Jr,59,88.03,53.78,57
Saud Shakeel,59,178.61,54.62,113
Mohammad Rizwan,26,120.27,44.51,47
Usman Khan,22,123.11,37.85,33
Shan Masood,19,116.34,63.46,34
Fakhar Zaman,119,99.43,48.72,134
Azam Khan,121,124.92,45.87,149
Naseem Shah,39,149.61,36.7,59
Imam-ul-Haq,66,79.96,29.97,47
Mohammad Rizwan,47,103.02,36.53,49
Iftikhar Ahmed,31,81.01,45.47,34
Azam Khan,126,129.98,26.61,174
Babar Azam,125,156.56,60.06,210
Usman Khan,130,101.47,44.38,143
Shaheen Afridi,68,161.44,24.96,109
Mohammad Nawaz,58,128.63,43.74,89
Saud Shakeel,45,60.97,58.25,46
Zaman Khan,105,119.61,60.21,131
Zaman Khan,112,102.28,46.83,129
Shan Masood,90,71.66,46.37,67
Mohammad Rizwan,84,103.78,21.57,98
Salman Ali Agha,32,84.1,54.33,36
Tayyab Tahir,126,92.7,23.23,142
Naseem Shah,105,164.45,55.21,173
Mohammad Nawaz,120,141.16,48.72,177
Khushdil Shah,56,70.84,34.73,36
Abdullah Shafique,96,149.88,28.11,145
Abdullah Shafique,23,140.98,38.57,46
Haris Rauf,127,133.21,47.38,183
Naseem Shah,93,109.0,21.99,115
Azam Khan,24,71.66,59.36,23
Khushdil Shah,63,130.48,51.33,102
Azam Khan,88,108.97,62.58,90
Usman Khan,66,174.07,57.77,113
Khushdil Shah,125,177.34,32.93,215
Imam-ul-Haq,118,158.9,19.58,176
Babar Azam,16,154.42,27.18,27
Fakhar Zaman,116,151.82,25.36,171
Haris Rauf,109,77.71,60.03,87
Shan Masood,26,124.83,54.93,43
Shan Masood,11,102.99,54.42,12
Shaheen Afridi,16,75.21,36.05,9
Usman Khan,109,103.44,44.68,113
Zaman Khan,15,147.27,60.44,29
Babar Azam,17,179.83,57.36,32
Usman Khan,19,167.91,31.11,27
